ID,OBJECTID_1,Label,Row,PointLabel,x,y,RowNUM,one,Plbsac,type,LBC.1,LBCeq,pH.2,Ca,K,Mg,Mn,P,Zn,geometry
240484,43,43,D,43D,-83.72760831,32.43547596,0,1,30,SPID,203,557,5.81,303,33.1,40.5,14.31,14.86,1.89,"c(243546.5032, 3591982.1493, 0)"
240485,43,43,D,43D,-83.72760831,32.43547596,0,1,30,CID,159,395,5.84,292,28.8,38.7,8.24,13.06,1.3,"c(243546.5032, 3591982.1493, 0)"
240486,44,44,D,44D,-83.72665158,32.43547262,0,1,72,SPID,202,553,6.06,452,46.4,58.9,20.18,36.06,2.29,"c(243636.4757, 3591979.4802, 0)"
240487,44,44,D,44D,-83.72665158,32.43547262,0,1,72,CID,211,586,5.93,420,39.7,44.6,18.45,35.2,2.04,"c(243636.4757, 3591979.4802, 0)"
240488,45,45,D,45D,-83.72569485,32.43546927,0,1,63,SPID,178,465,6.33,737,96.5,97.7,30.83,31.28,2.34,"c(243726.4481, 3591976.811, 0)"
240489,45,45,D,45D,-83.72569485,32.43546927,0,1,63,CID,262,760,6.08,739,82.9,102.3,20.07,23.23,2.44,"c(243726.4481, 3591976.811, 0)"
240490,46,46,D,46D,-83.72473812,32.43546592,0,1,7,SPID,324,940,5.45,594,94.6,107.6,10.39,3.7,1.75,"c(243816.4205, 3591974.1419, 0)"
240491,46,46,D,46D,-83.72473812,32.43546592,0,1,7,CID,203,557,5.25,430,77.6,84.7,11.58,3.33,1.34,"c(243816.4205, 3591974.1419, 0)"
240492,47,47,E,47E,-83.73622272,32.43469433,0,1,29,SPID,210,583,5.8,418,93.5,41.1,22.96,14.65,1.17,"c(242734.0791, 3591916.1987, 0)"
240493,47,47,E,47E,-83.73622272,32.43469433,0,1,29,CID,269,780,5.37,371,47.7,25.6,16.94,15.08,1.24,"c(242734.0791, 3591916.1987, 0)"
240494,48,48,E,48E,-83.735266,32.43469105,0,1,48,SPID,322,934,6.19,611,129.9,67.8,29.9,24.04,2.81,"c(242824.0521, 3591913.5296, 0)"
240495,48,48,E,48E,-83.735266,32.43469105,0,1,48,CID,228,649,5.99,485,96.3,78.4,24.93,20.76,2.41,"c(242824.0521, 3591913.5296, 0)"
240496,49,49,E,49E,-83.73430928,32.43468777,0,1,7,SPID,177,461,5.24,305,68.9,82.5,8.15,3.61,0.84,"c(242914.0251, 3591910.8605, 0)"
240497,49,49,E,49E,-83.73430928,32.43468777,0,1,7,CID,128,282,5.2,202,59.3,43.9,7.51,3.82,1.1,"c(242914.0251, 3591910.8605, 0)"
240498,50,50,E,50E,-83.73335256,32.43468449,0,1,20,SPID,200,546,5.76,381,22.2,49.4,10.66,10.23,1.72,"c(243003.998, 3591908.1914, 0)"
240499,50,50,E,50E,-83.73335256,32.43468449,0,1,20,CID,220,619,6.07,418,49.6,70.2,12.3,13.95,1.66,"c(243003.998, 3591908.1914, 0)"
240500,51,51,E,51E,-83.73239584,32.43468119,0,1,99,SPID,433,1256,6.06,1462,165.3,283,52.4,49.45,4.93,"c(243093.9708, 3591905.5223, 0)"
240501,51,51,E,51E,-83.73239584,32.43468119,0,1,99,CID,261,757,6,542,52.6,78,12.74,25.36,2.21,"c(243093.9708, 3591905.5223, 0)"
240502,52,52,E,52E,-83.73143912,32.43467789,0,1,34,SPID,154,377,5.92,242,26.1,39.8,11.51,16.99,0.86,"c(243183.9436, 3591902.8532, 0)"
240503,52,52,E,52E,-83.73143912,32.43467789,0,1,34,CID,164,414,6.08,274,28.1,46.8,12.83,14.27,0.92,"c(243183.9436, 3591902.8532, 0)"
240504,53,53,E,53E,-83.7304824,32.43467458,0,1,3,SPID,166,421,5.75,271,32.3,50,17.06,1.62,0.94,"c(243273.9163, 3591900.1841, 0)"
