Point,Sample ID Lab,Horizon,Observational Method,Potential Series (in progress),To Depth (cm),H Depth(cm),Boundary (Bnd),Matrix Color,Clay,Sand,Silt,"Lab Texture (LPSA, preliminary)",Txt Rep?,Field Texture,Field Clay %,Structure,Consistence,Notes,Date Sampled,Depth to water table (if known),Taxonomy,Charcoal Present?,Depletions,Concentrations,htm,intermingle body,plinthitic,Buried,AB,AE,BA,BC,BE,textureimp?
36,250424,Bt1,Probe,Orangeburg,39-70,31,Gr,5YR4/6,31,59,10,SCL,,,,2MSBK,,F/VF roots,4/17/2025,,,,,,,,,,,,,,,1
36,250425,Bt2,Probe,Orangeburg,70-96,26,Gr,5YR4/6,29.2,61,9.8,SCL,,,,1MSBK,,"common bleached root channels, F/VF roots",4/17/2025,,,,,,,,,,,,,,,1
36,250426,Bt3,Probe/Auger,Orangeburg,96-150+,54,,2.5YR4/8,33.9,58.5,7.6,SCL,,,,1MSBK,,"few bleached root channels, F/VF roots",4/17/2025,,,,,,,,,,,,,,,1
41,250427,Ap,Probe,,0-19,19,C,10YR3/3,7.81,80.1,12.09,LS,,,,1FGr,,VF roots common,4/16/2025,,,,,,,,,,,,,,,0
41,250428,AB,Probe,,19-54,35,C,7.5YR3/4,19.2,67,13.8,SL,,,,1MSBK,,"org stains and charcoal,VF roots common",4/16/2025,,,Yes,,,,,,,Yes,,,,,0
41,250429,Bt1,Probe,,54-114,60,Gr,5YR4/6,34.3,55,10.7,SCL,,,,2MSBK,,VF roots common,4/16/2025,,,,,,,,,,,,,,,0
41,250430,Bt2,Auger,,114-150+,36,,5YR4/6,36.2,55.2,8.6,SC,,,,2MSBK,,,4/16/2025,,,,,,,,,,,,,,,0
42,250431,Ap1,Probe,Dothan,0-23,23,C,10YR4/3,7.35,83.8,8.85,LS,,,,1MGr,,,4/16/2025,,,,,,,,,,,,,,,1
42,250432,Ap2,Probe,Dothan,23-39,16,Ab,10YR4/4,7.54,83.9,8.56,LS,,,,1MGr,,,4/16/2025,,,,,,,,,,,,,,,1
42,250433,Bt1,Probe,Dothan,39-70,31,C,10YR5/6,26.8,61.4,11.8,SCL,,,,2CoSBK,,,4/16/2025,,,,,,,,,,,,,,,1
42,250434,Bt2,Probe,Dothan,70-105,35,C,10YR5/8,45.6,45.1,9.3,SC,,,,2CoSBK,,"plinthite, soft, 5%",4/16/2025,,,,,,,,,,,,,,,1
42,250435,Btv1,Probe/Auger,Dothan,105-140,35,C,10YR5/8,49,41.8,9.2,C,,,,2CoSBK,,"few 2.5Y7/2 depletions, plinthite 5YR4/6 10%, iron conc 7.5YR5/8 10%",4/16/2025,,,,Yes,Yes,,,Yes,,,,,,,1
42,250436,Btv2,Auger,Dothan,140-150+,10,,10YR5/6,49,43.7,7.3,C,,,,2CoSBK,,"plinthite, 2.5YR4/8, 25%",4/16/2025,,,,,,,,Yes,,,,,,,1
